city,date,rate,state
Hyderabad,2011-12-01,73.07,Telangana
Hyderabad,2012-04-01,73.08,Telangana
Hyderabad,2012-05-24,81.44,Telangana
Hyderabad,2012-06-03,78.11,Telangana
Hyderabad,2012-06-29,74.89,Telangana
Hyderabad,2012-07-24,75.8,Telangana
Hyderabad,2012-07-25,75.42,Telangana
Hyderabad,2012-10-09,74.68,Telangana
Hyderabad,2012-10-27,74.98,Telangana
Hyderabad,2012-11-16,73.73,Telangana
Hyderabad,2013-01-18,73.41,Telangana
Hyderabad,2013-02-16,75.37,Telangana
Hyderabad,2013-03-02,77.21,Telangana
Hyderabad,2013-03-16,74.59,Telangana
Hyderabad,2013-04-02,73.44,Telangana
Hyderabad,2013-04-16,72.14,Telangana
Hyderabad,2013-05-01,68.86,Telangana
Hyderabad,2013-06-01,69.84,Telangana
Hyderabad,2013-06-16,72.46,Telangana
Hyderabad,2013-06-29,74.9,Telangana
Hyderabad,2013-07-15,76.94,Telangana
Hyderabad,2013-08-01,77.85,Telangana
Hyderabad,2013-09-01,80.93,Telangana
Hyderabad,2013-09-14,83.07,Telangana
Hyderabad,2013-10-01,79.08,Telangana
Hyderabad,2013-11-01,77.57,Telangana
Hyderabad,2013-12-21,78.1,Telangana
Hyderabad,2014-01-04,79.11,Telangana
Hyderabad,2014-03-01,79.9,Telangana
Hyderabad,2014-04-01,78.92,Telangana
Hyderabad,2014-04-16,78.0,Telangana
Hyderabad,2014-06-07,78.11,Telangana
Hyderabad,2014-06-25,78.17,Telangana
Hyderabad,2014-07-01,80.41,Telangana
Hyderabad,2014-08-01,79.22,Telangana
Hyderabad,2014-08-15,76.84,Telangana
Hyderabad,2014-08-31,74.86,Telangana
Hyderabad,2014-10-01,74.15,Telangana
Hyderabad,2014-10-15,72.83,Telangana
Hyderabad,2014-11-01,70.19,Telangana
Hyderabad,2014-12-01,69.19,Telangana
Hyderabad,2014-12-16,67.02,Telangana
Hyderabad,2015-01-17,64.37,Telangana
Hyderabad,2015-02-01,66.38,Telangana
Hyderabad,2015-02-04,63.81,Telangana
Hyderabad,2015-02-06,63.73,Telangana
Hyderabad,2015-02-16,64.65,Telangana
Hyderabad,2015-03-01,68.23,Telangana
Hyderabad,2015-04-02,67.69,Telangana
Hyderabad,2015-04-15,66.79,Telangana
Hyderabad,2015-05-01,71.21,Telangana
Hyderabad,2015-05-16,74.73,Telangana
Hyderabad,2015-06-16,75.45,Telangana
Hyderabad,2015-07-01,75.11,Telangana
Hyderabad,2015-07-15,72.52,Telangana
Hyderabad,2015-08-01,69.82,Telangana
Hyderabad,2015-08-15,68.45,Telangana
Hyderabad,2015-09-01,66.29,Telangana
Hyderabad,2015-11-01,65.76,Telangana
Hyderabad,2015-11-16,66.07,Telangana
Hyderabad,2015-12-01,65.47,Telangana
Hyderabad,2015-12-16,64.92,Telangana
Hyderabad,2016-01-01,64.24,Telangana
Hyderabad,2016-01-16,63.9,Telangana
Hyderabad,2016-02-01,63.85,Telangana
Hyderabad,2016-02-17,63.84,Telangana
Hyderabad,2016-03-09,60.63,Telangana
Hyderabad,2016-03-17,63.9,Telangana
Hyderabad,2016-04-05,66.22,Telangana
Hyderabad,2016-04-16,65.18,Telangana
Hyderabad,2016-05-01,66.29,Telangana
Hyderabad,2016-05-17,67.17,Telangana
Hyderabad,2016-06-01,69.91,Telangana
Hyderabad,2016-06-16,69.96,Telangana
Hyderabad,2016-07-01,69.06,Telangana
Hyderabad,2016-07-15,66.67,Telangana
Hyderabad,2016-08-01,65.22,Telangana
Hyderabad,2016-08-15,64.16,Telangana
Hyderabad,2016-09-01,67.75,Telangana
Hyderabad,2016-09-15,68.56,Telangana
Hyderabad,2016-10-01,68.95,Telangana
Hyderabad,2016-10-05,69.07,Telangana
Hyderabad,2016-10-15,70.91,Telangana
Hyderabad,2016-11-06,72.25,Telangana
Hyderabad,2016-11-16,70.4,Telangana
Hyderabad,2016-12-01,70.58,Telangana
Hyderabad,2016-12-17,73.61,Telangana
Hyderabad,2017-01-01,75.37,Telangana
Hyderabad,2017-01-16,75.94,Telangana
Hyderabad,2017-04-01,70.81,Telangana
Hyderabad,2017-04-16,72.7,Telangana
Hyderabad,2017-05-01,72.72,Telangana
Hyderabad,2017-05-16,69.8,Telangana
Hyderabad,2017-06-01,71.49,Telangana
Hyderabad,2017-06-16,69.61,Telangana
Hyderabad,2017-06-19,68.73,Telangana
Hyderabad,2017-06-20,68.57,Telangana
Hyderabad,2017-06-21,68.62,Telangana
Hyderabad,2017-06-22,68.46,Telangana
Hyderabad,2017-06-23,68.23,Telangana
Hyderabad,2017-06-26,67.56,Telangana
Hyderabad,2017-06-27,67.42,Telangana
Hyderabad,2017-06-28,67.46,Telangana
Hyderabad,2017-06-29,67.42,Telangana
Hyderabad,2017-06-30,67.3,Telangana
Hyderabad,2017-07-03,67.11,Telangana
Hyderabad,2017-07-04,67.01,Telangana
Hyderabad,2017-07-05,67.06,Telangana
Hyderabad,2017-07-06,67.13,Telangana
Hyderabad,2017-07-07,67.27,Telangana
Hyderabad,2017-07-10,67.85,Telangana
Hyderabad,2017-07-11,67.91,Telangana
Hyderabad,2017-07-12,67.96,Telangana
Hyderabad,2017-07-13,67.89,Telangana
Hyderabad,2017-07-14,67.87,Telangana
Hyderabad,2017-07-17,68.22,Telangana
Hyderabad,2017-07-18,68.2,Telangana
Hyderabad,2017-07-19,68.28,Telangana
Hyderabad,2017-07-20,68.33,Telangana
Hyderabad,2017-07-21,68.28,Telangana
Hyderabad,2017-07-24,68.62,Telangana
Hyderabad,2017-07-25,68.67,Telangana
Hyderabad,2017-07-26,68.59,Telangana
Hyderabad,2017-07-27,68.61,Telangana
Hyderabad,2017-07-28,68.72,Telangana
Hyderabad,2017-07-31,69.32,Telangana
Hyderabad,2017-08-01,69.31,Telangana
Hyderabad,2017-08-04,69.87,Telangana
Hyderabad,2017-08-07,70.65,Telangana
Hyderabad,2017-08-08,70.66,Telangana
Hyderabad,2017-08-09,70.73,Telangana
Hyderabad,2017-08-10,70.89,Telangana
Hyderabad,2017-08-11,71.22,Telangana
Hyderabad,2017-08-14,72.02,Telangana
Hyderabad,2017-08-16,72.14,Telangana
Hyderabad,2017-08-17,72.25,Telangana
Hyderabad,2017-08-18,72.31,Telangana
Hyderabad,2017-08-21,72.64,Telangana
Hyderabad,2017-08-22,72.7,Telangana
Hyderabad,2017-08-23,72.85,Telangana
Hyderabad,2017-08-24,72.93,Telangana
Hyderabad,2017-08-28,73.23,Telangana
Hyderabad,2017-08-29,73.18,Telangana
Hyderabad,2017-08-30,73.26,Telangana
Hyderabad,2017-08-31,73.29,Telangana
Hyderabad,2017-09-01,73.34,Telangana
Hyderabad,2017-09-04,73.73,Telangana
Hyderabad,2017-09-05,73.81,Telangana
Hyderabad,2017-09-07,73.91,Telangana
Hyderabad,2017-09-08,74.0,Telangana
Hyderabad,2017-09-11,74.41,Telangana
Hyderabad,2017-09-12,74.52,Telangana
Hyderabad,2017-09-13,74.49,Telangana
Hyderabad,2017-09-14,74.54,Telangana
Hyderabad,2017-09-15,74.58,Telangana
Hyderabad,2017-09-19,74.64,Telangana
Hyderabad,2017-09-20,74.68,Telangana
Hyderabad,2017-09-21,74.64,Telangana
Hyderabad,2017-09-22,74.62,Telangana
Hyderabad,2017-09-25,74.53,Telangana
Hyderabad,2017-09-26,74.56,Telangana
Hyderabad,2017-09-27,74.53,Telangana
Hyderabad,2017-09-28,74.61,Telangana
Hyderabad,2017-09-29,74.72,Telangana
Hyderabad,2017-10-03,75.01,Telangana
Hyderabad,2017-10-04,72.4,Telangana
Hyderabad,2017-10-05,72.36,Telangana
Hyderabad,2017-10-06,72.38,Telangana
Hyderabad,2017-10-09,72.44,Telangana
Hyderabad,2017-10-10,72.48,Telangana
Hyderabad,2017-10-11,72.51,Telangana
Hyderabad,2017-10-12,72.44,Telangana
Hyderabad,2017-10-13,72.46,Telangana
Hyderabad,2017-10-16,72.27,Telangana
Hyderabad,2017-10-17,72.24,Telangana
Hyderabad,2017-10-18,72.28,Telangana
Hyderabad,2017-10-24,72.6,Telangana
Hyderabad,2017-10-25,72.66,Telangana
Hyderabad,2017-10-26,72.69,Telangana
Hyderabad,2017-10-30,73.1,Telangana
Hyderabad,2017-10-31,73.2,Telangana
Hyderabad,2017-11-02,73.32,Telangana
Hyderabad,2017-11-03,73.42,Telangana
Hyderabad,2017-11-06,73.87,Telangana
Hyderabad,2017-11-07,73.91,Telangana
Hyderabad,2017-11-09,73.96,Telangana
Hyderabad,2017-11-10,74.04,Telangana
Hyderabad,2017-11-13,73.97,Telangana
Hyderabad,2017-11-14,73.83,Telangana
Hyderabad,2017-11-15,73.78,Telangana
Hyderabad,2017-11-16,73.75,Telangana
Hyderabad,2017-11-17,73.7,Telangana
Hyderabad,2017-11-20,73.68,Telangana
Hyderabad,2017-11-21,73.62,Telangana
Hyderabad,2017-11-22,73.57,Telangana
Hyderabad,2017-11-23,73.51,Telangana
Hyderabad,2017-11-24,73.49,Telangana
Hyderabad,2017-11-27,73.44,Telangana
Hyderabad,2017-11-28,73.33,Telangana
Hyderabad,2017-11-29,73.41,Telangana
Hyderabad,2017-11-30,73.31,Telangana
Hyderabad,2017-12-01,73.29,Telangana
Hyderabad,2017-12-05,73.4,Telangana
Hyderabad,2017-12-06,73.31,Telangana
Hyderabad,2017-12-07,73.3,Telangana
Hyderabad,2017-12-08,73.26,Telangana
Hyderabad,2017-12-11,73.27,Telangana
Hyderabad,2017-12-12,73.15,Telangana
Hyderabad,2017-12-13,73.13,Telangana
Hyderabad,2017-12-15,73.16,Telangana
Hyderabad,2017-12-18,73.34,Telangana
Hyderabad,2017-12-19,73.42,Telangana
Hyderabad,2017-12-20,73.51,Telangana
Hyderabad,2017-12-21,73.5,Telangana
Hyderabad,2017-12-22,73.59,Telangana
Hyderabad,2017-12-26,73.81,Telangana
Hyderabad,2017-12-27,73.82,Telangana
Hyderabad,2017-12-28,73.92,Telangana
Hyderabad,2017-12-29,74.01,Telangana
Hyderabad,2018-01-01,74.17,Telangana
Hyderabad,2018-01-02,74.09,Telangana
Hyderabad,2018-01-03,74.17,Telangana
Hyderabad,2018-01-05,74.19,Telangana
Hyderabad,2018-01-08,74.65,Telangana
Hyderabad,2018-01-09,74.7,Telangana
Hyderabad,2018-01-10,74.78,Telangana
Hyderabad,2018-01-11,74.82,Telangana
Hyderabad,2018-01-12,74.88,Telangana
Hyderabad,2018-01-15,75.35,Telangana
Hyderabad,2018-01-16,75.45,Telangana
Hyderabad,2018-01-17,75.57,Telangana
Hyderabad,2018-01-18,75.75,Telangana
Hyderabad,2018-01-19,75.9,Telangana
Hyderabad,2018-01-22,76.47,Telangana
Hyderabad,2018-01-23,76.63,Telangana
Hyderabad,2018-01-24,76.68,Telangana
Hyderabad,2018-01-25,76.74,Telangana
Hyderabad,2018-01-29,77.11,Telangana
Hyderabad,2018-01-30,77.2,Telangana
Hyderabad,2018-02-01,77.34,Telangana
Hyderabad,2018-02-02,77.39,Telangana
Hyderabad,2018-02-05,77.61,Telangana
Hyderabad,2018-02-06,77.69,Telangana
Hyderabad,2018-02-08,77.68,Telangana
Hyderabad,2018-02-09,77.66,Telangana
Hyderabad,2018-02-12,77.29,Telangana
Hyderabad,2018-02-13,77.22,Telangana
Hyderabad,2018-02-15,77.06,Telangana
Hyderabad,2018-02-16,76.77,Telangana
Hyderabad,2018-02-19,76.14,Telangana
Hyderabad,2018-02-20,75.93,Telangana
Hyderabad,2018-02-21,75.92,Telangana
Hyderabad,2018-02-22,75.9,Telangana
