book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
655,52,4,11482,300,4,8,2012,94,7
2713,90,3,6479,469,1,8,2012,33,5
409,17,2,25472,435,1,12,2001,196,4
1150,234,10,23950,529,2,23,2019,79,2
2424,390,5,13046,395,2,20,2010,200,4
1888,24,2,29139,692,10,36,2001,140,5
2978,285,10,23372,699,4,17,2021,121,2
1178,323,8,23053,116,8,3,2013,136,2
2756,306,9,21845,700,1,36,2002,116,1
2331,253,4,8755,354,8,6,2021,66,7
2958,190,9,19972,380,7,37,2020,183,5
2670,81,7,25352,396,1,20,2012,133,3
639,330,5,21979,539,5,46,2020,97,2
2459,178,9,8816,291,8,10,2013,82,5
1668,405,10,5109,477,7,22,2003,96,7
1921,234,3,28984,164,10,39,2017,193,4
161,187,7,25565,344,3,25,2003,2,5
2432,294,3,23143,577,10,23,2008,175,2
1131,271,2,15098,279,2,29,2003,15,4
1985,308,6,19668,635,10,20,2009,26,4
796,352,3,25885,305,9,50,2020,4,1
697,69,5,9364,117,1,30,2000,89,2
2459,145,1,29493,384,8,37,2011,41,6
1921,207,8,1798,487,2,47,2011,199,6
2663,107,10,24804,199,3,42,2006,192,4
2548,427,3,9813,527,4,24,2014,86,6
2493,123,1,14795,390,5,2,2011,192,3
2045,189,6,26518,540,3,34,2011,84,3
1701,308,5,17041,320,8,13,2015,12,4
2984,181,4,23268,335,10,37,2016,117,4
1802,99,8,5088,167,3,42,2001,11,1
1179,134,7,18392,439,3,12,2008,136,6
1457,333,4,19617,368,9,34,2018,96,1
1111,58,9,1605,685,6,34,2011,99,1
2904,259,1,7773,133,1,39,2017,71,6
1538,146,4,14391,416,1,31,2009,175,7
928,118,2,19915,396,10,46,2003,152,7
838,239,5,27778,561,4,3,2014,23,7
2274,281,7,18402,115,3,9,2007,165,1
1474,163,3,22038,628,8,23,2015,133,2
2328,123,2,23940,368,3,46,2021,107,4
2233,251,10,26684,144,9,31,2014,76,1
912,200,9,24995,287,1,31,2012,95,1
342,18,9,29903,506,9,11,2018,142,6
532,136,8,15205,416,8,39,2006,136,1
1444,177,4,25860,365,5,31,2007,147,4
2911,91,6,19808,206,8,44,2001,8,3
295,416,1,11796,651,4,35,2019,196,4
346,141,2,27216,188,10,39,2018,100,2
600,116,1,25380,163,10,41,2012,48,7
1269,401,4,2393,262,2,40,2001,43,6
1059,386,5,6979,389,6,6,2014,67,4
2897,381,4,4769,641,10,11,2015,39,5
1922,148,8,27020,151,1,24,2002,32,1
22,421,7,24485,651,3,40,2021,124,3
2960,317,10,66,366,3,36,2015,21,7
201,12,10,22704,233,4,19,2008,59,4
617,201,9,14793,433,10,6,2006,56,7
258,289,7,23212,548,5,5,2008,46,3
2504,77,10,18463,698,6,35,2006,129,4
2527,1,8,2848,494,7,48,2020,6,2
2944,414,2,5235,565,9,39,2018,41,3
2448,292,6,28948,407,8,44,2020,115,1
1233,435,5,19458,539,9,29,2016,32,1
2675,420,7,9389,243,5,20,2012,100,6
82,182,8,14143,202,10,14,2012,78,1
2759,380,8,7539,431,6,8,2020,140,4
1410,309,5,15477,559,6,17,2009,143,5
1322,361,5,22399,649,5,48,2017,22,2
2220,311,9,2102,695,1,43,2009,76,2
2630,182,4,14096,179,8,46,2020,27,7
1999,298,9,14178,392,6,9,2006,99,1
1484,211,7,1072,295,6,6,2021,53,5
2924,33,9,2899,87,5,21,2011,81,4
40,113,7,8043,499,8,4,2003,33,6
2899,224,10,2023,293,9,3,2007,147,1
1122,319,5,8269,301,7,34,2012,193,6
1389,78,8,12847,514,7,47,2002,80,1
2010,71,7,19615,587,3,23,2005,107,1
626,21,4,17218,621,9,29,2001,157,5
2657,16,4,10005,330,6,32,2017,102,2
1995,326,9,21197,424,10,21,2010,11,4
1764,117,4,24986,169,5,46,2010,41,4
488,302,8,5754,679,10,37,2013,106,7
1133,180,8,22822,635,1,13,2005,138,4
1740,449,10,6085,545,4,26,2003,1,5
2181,168,3,7926,348,9,19,2006,60,1
2092,61,7,19205,490,5,26,2007,79,3
313,276,8,28518,697,1,13,2019,4,6
1593,206,7,11400,458,7,15,2009,149,6
1363,353,1,18108,499,1,16,2015,150,4
2974,262,1,10839,432,6,1,2016,198,3
1933,100,2,18375,496,8,49,2004,166,3
2929,193,2,4596,595,2,27,2000,100,4
1400,23,4,4442,169,10,29,2011,56,1
2977,405,1,17659,552,1,28,2017,160,7
305,106,5,9537,131,9,39,2005,119,5
2503,19,6,9092,526,2,2,2015,9,6
2326,409,8,11960,688,7,19,2007,97,7
2721,311,5,25518,385,10,21,2011,84,4
1144,126,10,22441,525,2,16,2018,148,2
2238,31,9,21446,587,3,44,2016,106,1
2097,86,5,15853,687,10,13,2019,17,4
1309,258,3,22076,333,3,32,2019,136,1
1077,164,3,27335,191,7,30,2014,70,3
2854,217,10,14207,395,9,38,2020,200,3
2456,187,5,16319,335,4,13,2007,88,1
2792,267,4,4815,644,5,48,2005,131,1
1101,402,6,10298,613,5,2,2002,81,2
2019,24,7,5025,214,7,31,2020,138,1
528,161,7,13608,442,9,16,2018,128,2
2560,49,4,27151,402,9,33,2005,75,5
2737,56,1,10728,142,5,49,2007,48,2
